planning_area,owner,tenant,others,year
Marine Parade,12400,2600,200,2015
North-Eastern Islands,0,0,0,2015
Pioneer,0,0,0,2015
Jurong West,76200,5100,300,2015
Kallang,29400,6900,100,2015
Novena,13000,2500,200,2015
Pasir Ris,38400,2000,100,2015
Hougang,60500,3400,400,2015
Jurong East,24300,1200,0,2015
Lim Chu Kang,0,0,0,2015
Mandai,0,0,0,2015
Bukit Panjang,39300,1900,100,2015
Bukit Timah,20900,2600,500,2015
Ang Mo Kio,54700,7700,100,2015
Bedok,82900,8700,600,2015
Bishan,25300,2300,200,2015
Boon Lay,0,0,0,2015
Bukit Batok,41300,2500,300,2015
Bukit Merah,44300,10700,200,2015
Choa Chu Kang,47500,1500,300,2015
Tanglin,4900,1900,200,2015
Geylang,31800,5300,400,2015
Changi,0,0,0,2015
Seletar,0,0,0,2015
Sengkang,62200,2300,100,2015
Serangoon,36300,2300,400,2015
Downtown Core,0,0,0,2015
Sungei Kadut,0,0,0,2015
Tampines,76100,3500,300,2015
Orchard,0,0,0,2015
Outram,5800,2600,0,2015
Tengah,0,0,0,2015
Toa Payoh,36800,6100,200,2015
Marina East,0,0,0,2015
Woodlands,65900,4400,100,2015
Marina South,0,0,0,2015
Singapore River,0,0,0,2015
Straits View,0,0,0,2015
Simpang,0,0,0,2015
Southern Islands,0,0,0,2015
Tuas,0,0,0,2015
Western Islands,0,0,0,2015
Western Water Catchment,0,0,0,2015
Yishun,59500,3100,300,2015
Museum,0,0,0,2015
Newton,0,0,0,2015
Changi Bay,0,0,0,2015
Clementi,26900,2900,200,2015
Paya Lebar,0,0,0,2015
Punggol,31900,1300,0,2015
Queenstown,31700,3600,300,2015
Sembawang,22100,900,100,2015
Central Water Catchment,0,0,0,2015
River Valley,0,0,0,2015
Rochor,0,0,0,2015
